constituency,district,votes_polled,winner_candidate,winner_party,winner_votes,winner_votes_diff_from_runner,runner_candidate,runner_party,runner_votes,runner_votes_diff_from_winner,second_runner,second_runner_party,second_runner_votes,second_runner_diff_from_winner,third_runner,third_runner_party,third_runner_votes,third_runner_diff_from_winner
Thuraiyur,,184426,RAVISANKAR.M,TVK,66263,9614,E.SAROJA,ADMK,56649,-9614,M.LENIN PRASATH,INC,49222,-17041,S KOWSALYA,NTK,8436,-57827
Tindivanam,,196026,VANNI ARASU,VCK,63833,734,ARJUNAN. P,ADMK,63099,-734,SAKTHIVEL. S,TVK,61159,-2674,PACHIMUTHU. P,NTK,5242,-58591
Tiruchendur,,186050,ANITHA R. RADHAKRISHNAN,DMK,72723,5872,J. MURUGAN,TVK,66851,-5872,K R M RADHAKRISHNAN,BJP,34159,-38564,OPHILIYA,NTK,9794,-62929
Tiruchengodu,,191122,ARUNRAJ K G,TVK,79500,28172,SRMT SEKAR (A) CHANDRASEKAR R,ADMK,51328,-28172,ESWARAN E R,DMK,49465,-30035,REVATHI K,NTK,6085,-73415
Tiruchirappalli East,,182493,C. JOSEPH VIJAY,TVK,91381,27416,S. INIGO IRUDAYARAJ,DMK,63965,-27416,G. RAJASEKARAN,ADMK,19715,-71666,DR.KRISHNASAMY .V,NTK,4790,-86591
Tiruchirappalli West,,196347,K.N.NEHRU,DMK,88235,4786,G.RAMAMOORTHI,TVK,83449,-4786,M.RAJASEKARAN,AMMK,14136,-74099,K.BHUVANESWARI,NTK,7470,-80765
Tiruchuli,,181250,THANGAM THENARASU,DMK,75085,13485,SAMAYAN.S,TVK,61600,-13485,RAJAVARMAN.M.S.R,ADMK,25581,-49504,AVARANGADU KARTHIK RAJA,NTK,12763,-62322
Tirukkoyilur,,217318,PALANISAMY S,ADMK,73033,285,VIJAY R BARANIBALAAJI,TVK,72748,-285,DR PON GAUTHAMSIGAMANI,DMK,62452,-10581,HEMARAJAN K,NTK,5791,-67242
Tirunelveli,,218425,MURUGHAN.R.S.,TVK,75840,11414,SUBRAMANIAN.S,DMK,64426,-11414,THACHAI GANESARAJA,ADMK,47504,-28336,SATHYA. B.,NTK,15108,-60732
Tirupathur,,215710,SEENIVASA SETHUPATHY. R,TVK,83375,1,PERIAKARUPPAN. KR,DMK,83374,-1,THIRUMARAN. K.C,BJP,29054,-54321,RAMYA MOHAN,NTK,15291,-68084
Tiruppattur,,202925,DR.THIRUPATHI. N,TVK,105098,48263,NALLATHAMBI. A,DMK,56835,-48263,GNANASEKAR. A,AMMK,30003,-75095,ARUMUGAM. V,NTK,5482,-99616
Tiruppur North,,263457,V.SATHYABAMA,TVK,131401,69992,M.S.M.ANANDAN,ADMK,61409,-69992,M.RAVI ALIAS M.SUBRAMANIAN,CPI,53964,-77437,R.ABINAYA,NTK,13157,-118244
Tiruppur South,,179814,BALAMURUGAN. S,TVK,73793,12901,DINESHKUMAR. N,DMK,60892,-12901,THANGARAJ. S,BJP,34617,-39176,DINESH. P.N,NTK,6956,-66837
